r3Ptstat,3PtStat,collegeServicableShooter,age,height,Oposs,avgPosition,avgRole,PlusMinus,usg,efg,ts,dunks,dunkAtts,close2,close2Atts,close2Pct,far2,far2Atts,far2Pct,ft,ftAtts,ftPct,2p,2pAtt,2pPct,3pr,3p,3Pp100,3pAtts,3PAp100,3pPct,N1Sage,N1Susg,N1Sefg,N1Sts,N1Sdunks,N1SdunkAtts,N1Sclose2,N1Sclose2Atts,N1Sclose2Pct,N1Sfar2,N1Sfar2Atts,N1Sfar2Pct,N1Sft,N1SftAtts,N1SftPct,N1S2p,N1S2pAtt,N1S2pPct,N1S3pr,N1S3p,N1S3pAtts,N1S3pPct,N2Sage,N2Susg,N2Sefg,N2Sts,N2Sdunks,N2SdunkAtts,N2Sclose2,N2Sclose2Atts,N2Sclose2Pct,N2Sfar2,N2Sfar2Atts,N2Sfar2Pct,N2Sft,N2SftAtts,N2SftPct,N2S2p,N2S2pAtt,N2S2pPct,N2S3pr,N2S3p,N2S3pAtts,N2S3pPct,OBPR,BPR,Box OBPR,Box BPR,AdjTeamOffEff,AdjTeamEffmargin
0,0,FALSE,21,85,1649,4.2,3.5,379,18.3,57.2,58.8,69,74,106,141,0.752,30,96,0.313,79,128,0.617,135,236,0.572,0,0,0,0,0,0,20,14.9,59.6,58,44,48,83,114,0.728,23,63,0.365,40,83,0.482,106,178,0.596,0,0,0,0,19,19.9,62.1,57.7,52,52,82,101,0.812,23,68,0.338,32,86,0.372,105,169,0.621,0,0,0,0,2.89,8.24,2.51,5.08,107.4,19.7
0,0,FALSE,22,82,1099,5,3.1,121,18.3,68.6,65,59,62,86,108,0.796,8,28,0.286,52,100,0.52,94,136,0.691,0.7,0,0,1,0.090991811,0,21,18.1,65.8,65.3,52,55,67,83,0.807,35,72,0.486,29,49,0.592,102,155,0.658,0,0,0,0,19,14.7,60.7,57.3,33,38,54,74,0.73,17,41,0.415,29,68,0.426,71,116,0.612,0.9,0,1,0,1.9,4.1,1.54,2.89,110.8,22.1
0,0,FALSE,20,85,1740,5,1.5,254,26,64,66.2,32,34,199,284,0.701,23,62,0.371,161,231,0.697,222,347,0.64,0,0,0,0,0,0,19,22.1,67.9,62.7,17,17,101,135,0.748,24,48,0.5,52,120,0.433,125,183,0.683,0.5,0,1,0,19,22.1,67.9,62.7,17,17,101,135,0.748,24,48,0.5,52,120,0.433,125,183,0.683,0.5,0,1,0,4.07,6.28,4.11,5.13,112.9,12.3
0,0,FALSE,20,83,1688,5,1.7,201,25.2,65.9,65.1,86,91,182,224,0.813,31,99,0.313,114,193,0.591,213,323,0.659,0,0,0,0,0,0,19,23.8,60.5,59.4,74,78,134,170,0.788,30,101,0.297,85,161,0.528,164,271,0.605,0,0,0,0,19,23.8,60.5,59.4,74,78,134,170,0.788,30,101,0.297,85,161,0.528,164,271,0.605,0,0,0,0,3.11,6.09,0.76,2.11,111.4,20.3
0.069442782,0,FALSE,21,85,1723,5,2.7,417,20.6,63.5,66.1,84,93,145,196,0.74,38,89,0.427,100,136,0.735,183,285,0.642,1,0,0,3,0.174114916,0,20,16.8,52,55,29,31,42,63,0.667,9,34,0.265,35,56,0.625,51,97,0.526,1,0,1,0,20,16.8,52,55,29,31,42,63,0.667,9,34,0.265,35,56,0.625,51,97,0.526,1,0,1,0,2.93,5.89,3.48,5.15,118.5,32.7
0,0,FALSE,19,82,2077,4.7,3.4,333,19.2,59.9,62.4,99,105,138,185,0.746,32,99,0.323,154,236,0.653,170,283,0.601,0.4,0,0,1,0.048146365,0,19,19.2,59.9,62.4,99,105,138,185,0.746,32,99,0.323,154,236,0.653,170,283,0.601,0.4,0,1,0,19,19.2,59.9,62.4,99,105,138,185,0.746,32,99,0.323,154,236,0.653,170,283,0.601,0.4,0,1,0,3.32,5.5,2.72,3.9,117.4,27.9
0.370346594,0,FALSE,19,82,919,5,2.8,93,21.3,54,58.7,23,25,55,80,0.688,19,54,0.352,63,90,0.7,74,135,0.548,1.5,0,0,2,0.217627856,0,19,21.3,54,58.7,23,25,55,80,0.688,19,54,0.352,63,90,0.7,74,135,0.548,1.5,0,2,0,19,21.3,54,58.7,23,25,55,80,0.688,19,54,0.352,63,90,0.7,74,135,0.548,1.5,0,2,0,2.08,5.18,0.76,3.3,104.1,9.5
0.07468467,0,FALSE,19,83,1850,5,2.3,390,27.6,66.4,64.1,64,67,213,270,0.789,66,150,0.44,99,194,0.51,279,420,0.664,0,0,0,0,0,0,19,27.6,66.4,64.1,64,67,213,270,0.789,66,150,0.44,99,194,0.51,279,420,0.664,0,0,0,0,19,27.6,66.4,64.1,64,67,213,270,0.789,66,150,0.44,99,194,0.51,279,420,0.664,0,0,0,0,4.09,5.82,4.19,5.36,117.5,18.8
0,0,FALSE,18,83,1296,5,2.5,156,23,59.7,60.8,70,76,111,152,0.73,30,83,0.361,65,104,0.625,141,235,0.6,0.4,0,0,1,0.077160494,0,18,23,59.7,60.8,70,76,111,152,0.73,30,83,0.361,65,104,0.625,141,235,0.6,0.4,0,1,0,18,23,59.7,60.8,70,76,111,152,0.73,30,83,0.361,65,104,0.625,141,235,0.6,0.4,0,1,0,3.09,4.99,2.35,4.18,112.7,21.5
0.235466558,0,FALSE,18,83,1772,5,2.8,-82,22.9,56.6,57.1,45,48,98,138,0.71,81,170,0.476,84,149,0.564,179,309,0.579,2.2,0,0,7,0.39503386,0,18,22.9,56.6,57.1,45,48,98,138,0.71,81,170,0.476,84,149,0.564,179,309,0.579,2.2,0,7,0,18,22.9,56.6,57.1,45,48,98,138,0.71,81,170,0.476,84,149,0.564,179,309,0.579,2.2,0,7,0,0.35,1.81,0.61,1.99,95.9,-6.1
0.111803399,0,FALSE,18,83,1106,5,2.3,103,16.9,72.8,73.9,74,75,105,123,0.854,18,46,0.391,74,100,0.74,123,169,0.728,0,0,0,0,0,0,18,16.9,72.8,73.9,74,75,105,123,0.854,18,46,0.391,74,100,0.74,123,169,0.728,0,0,0,0,18,16.9,72.8,73.9,74,75,105,123,0.854,18,46,0.391,74,100,0.74,123,169,0.728,0,0,0,0,2.68,3.57,1.54,3.21,116.2,21.4
