name,rSeason,r3Ptstat,nbaServicableShooter,rAge,rG,rGS,rMP,rFG,rFGA,r2P,r2PA,r3P,r3PA,rFT,rFTA,rPTS,r3PpG,r3PApG,r3Pp36,r3PAp36,rFG%,r2P%,r3P%,rFT%,rTS%,reFG%,rUsgPct,r3Pp100,r3PAp100,season,3PtStat,collegeServicableShooter,age,class,height,school,conf,role,Oposs,avgPosition,avgRole,PlusMinus,usg,efg,ts,dunks,dunkAtts,close2,close2Atts,close2Pct,far2,far2Atts,far2Pct,ft,ftAtts,ftPct,2p,2pAtt,2pPct,3pr,3p,3Pp100,3pAtts,3PAp100,3pPct,N1Sseason,N1Sage,N1Susg,N1Sefg,N1Sts,N1Sdunks,N1SdunkAtts,N1Sclose2,N1Sclose2Atts,N1Sclose2Pct,N1Sfar2,N1Sfar2Atts,N1Sfar2Pct,N1Sft,N1SftAtts,N1SftPct,N1S2p,N1S2pAtt,N1S2pPct,N1S3pr,N1S3p,N1S3pAtts,N1S3pPct,N2Sseason,N2Sage,N2Susg,N2Sefg,N2Sts,N2Sdunks,N2SdunkAtts,N2Sclose2,N2Sclose2Atts,N2Sclose2Pct,N2Sfar2,N2Sfar2Atts,N2Sfar2Pct,N2Sft,N2SftAtts,N2SftPct,N2S2p,N2S2pAtt,N2S2pPct,N2S3pr,N2S3p,N2S3pAtts,N2S3pPct,OBPR,BPR,Box OBPR,Box BPR,AdjTeamOffEff,AdjTeamEffmargin
Shabazz Napier,2014,0.906352691,TRUE,23,51,10,1012,87,228,44,110,43,118,44,56,261,0.843,2.314,1.53,4.198,0.382,0.4,0.364,0.786,0.517,0.476,15.5,2.2,6.2,2013,1.259518416,TRUE,22,Sr,73,Connecticut,Amer,Scoring PG,2223,1.8,1,239,28.1,51.7,59.1,0,0,67,117,0.573,59,165,0.358,207,238,0.87,126,281,0.448,43.3,87,3.913630229,215,9.671614935,0.405,2012,21,24.2,54.4,59.8,0,0,46,70,0.657,32,91,0.352,118,144,0.819,78,160,0.487,51.7,68,171,0.398,2011,20,23.6,47.3,52.5,0,0,48,84,0.571,29,100,0.29,110,148,0.743,77,184,0.418,47.4,59,166,0.355,4.09,6.51,4.26,6.1,112.7,22
Anthony Brown,2015,0.694691586,FALSE,23,29,11,599,39,126,19,56,20,70,17,20,115,0.69,2.414,1.202,4.207,0.31,0.339,0.286,0.85,0.427,0.389,11,1.7,5.9,2014,1.291528162,TRUE,22,Sr,78,Stanford,P12,Wing G,2087,3,2.1,131,21.2,52.8,57.3,8,9,58,96,0.604,39,133,0.293,116,146,0.795,97,229,0.424,43.9,79,3.785337805,179,8.576904648,0.441,2013,21,18.5,56.4,61,9,11,52,86,0.605,37,96,0.385,106,135,0.785,89,182,0.489,39.1,53,117,0.453,2011,19,18.8,47.4,49.5,4,5,26,46,0.565,38,102,0.373,45,72,0.625,64,148,0.432,44.8,42,120,0.35,2.44,3.26,2.22,3.01,107.3,5.2
Markel Brown,2014,0.545137781,FALSE,23,47,29,781,76,210,59,146,17,64,47,57,216,0.362,1.362,0.784,2.95,0.362,0.404,0.266,0.825,0.459,0.402,15.3,1.1,4.2,2013,1.022535852,TRUE,22,Sr,75,Oklahoma St.,B12,Wing G,1992,2.8,2.1,288,22.5,54.1,59.1,28,31,82,119,0.689,53,138,0.384,149,194,0.768,135,257,0.525,36.1,55,2.761044177,145,7.279116466,0.379,2012,21,22.5,50.3,54.9,25,26,59,99,0.596,59,148,0.399,114,150,0.76,117,245,0.478,36.9,52,143,0.364,2011,20,21.9,45.7,51.2,23,26,58,92,0.63,30,102,0.294,87,118,0.737,88,194,0.454,26.8,22,71,0.31,3.4,5.18,3.26,4.36,111.5,13.3
Elfrid Payton,2014,0.248555024,FALSE,20,82,63,2489,301,708,290,666,11,42,118,214,731,0.134,0.512,0.159,0.607,0.425,0.435,0.262,0.551,0.456,0.433,18.3,0.2,0.9,2013,0.42869985,FALSE,19,Jr,75,Louisiana Lafayette,SB,Scoring PG,1971,1.6,1,100,29.5,51.6,54.1,21,24,169,247,0.684,36,137,0.263,167,283,0.59,205,384,0.534,12.3,14,0.71029934,54,2.739726027,0.259,2012,18,26.9,49.4,53.1,18,19,115,178,0.646,52,157,0.331,132,205,0.644,167,338,0.494,12.7,16,49,0.327,2011,17,24.5,44.7,48.7,8,8,62,100,0.62,13,62,0.21,75,133,0.564,76,162,0.469,4.7,0,8,0,2.66,3.82,2.6,3.41,109.1,4.8
Adreian Payne,2014,0.08598023,FALSE,23,32,22,739,91,220,90,211,1,9,30,46,213,0.031,0.281,0.049,0.438,0.414,0.427,0.111,0.652,0.443,0.416,17,0.1,0.6,2013,1.159548696,TRUE,22,Sr,82,Michigan St.,B10,Stretch 4,1384,4.6,2.2,144,27.1,56.5,60.7,38,42,74,104,0.712,60,146,0.411,109,138,0.79,134,250,0.536,29.4,44,3.179190751,104,7.514450867,0.423,2012,21,20.4,58,63.1,39,43,75,102,0.735,42,99,0.424,85,101,0.842,117,201,0.582,17.3,16,42,0.381,2011,20,19.6,56.9,60.2,31,34,62,85,0.729,35,86,0.407,62,89,0.697,97,171,0.567,1.2,1,2,0.5,3.06,5.33,3.83,5.04,114.8,21
Josh Richardson,2015,1.061301701,TRUE,22,52,2,1107,123,272,70,157,53,115,42,63,341,1.019,2.212,1.724,3.74,0.452,0.446,0.461,0.667,0.569,0.55,13.8,2.5,5.3,2014,0.959735679,TRUE,21,Sr,78,Tennessee,SEC,Combo G,1791,1.8,1,59,25.3,51.9,56,8,8,49,71,0.69,89,200,0.445,99,124,0.798,138,271,0.509,32.1,46,2.568397543,128,7.146845338,0.359,2013,20,16.3,53.1,56.8,13,15,53,86,0.616,48,102,0.471,67,85,0.788,101,188,0.537,34.3,34,98,0.347,2012,19,16,49.1,52.6,5,6,42,68,0.618,48,101,0.475,54,78,0.692,90,169,0.533,19.9,9,42,0.214,2.26,4,1.61,3.19,103.6,1.2
Norman Powell,2015,1.014031952,TRUE,22,49,24,725,97,229,61,140,36,89,43,53,273,0.735,1.816,1.788,4.419,0.424,0.436,0.404,0.811,0.541,0.502,17.8,2.6,6.3,2014,0.771025336,TRUE,21,Sr,76,UCLA,P12,Wing G,2037,2.3,2.5,86,24,49.7,54,34,38,132,217,0.608,43,131,0.328,127,169,0.751,175,348,0.503,25.5,38,1.865488463,119,5.841924399,0.319,2013,20,19.2,56.8,61.1,36,38,106,146,0.726,27,72,0.375,96,123,0.78,133,219,0.607,23.7,20,68,0.294,2012,19,14.5,50.8,52.7,15,18,40,58,0.69,12,32,0.375,27,40,0.675,52,90,0.578,50.5,27,92,0.293,1.87,2.91,1.33,2.84,104.3,2.1
Justin Anderson,2015,0.675620086,FALSE,22,55,9,647,71,175,49,92,22,83,44,55,208,0.4,1.509,1.224,4.618,0.406,0.533,0.265,0.8,0.522,0.469,15.8,1.7,6.5,2014,1.420498956,TRUE,21,Jr,78,Virginia,ACC,Wing G,1053,2.8,1.8,342,22,57.2,61,18,21,44,66,0.667,12,51,0.235,64,82,0.78,56,117,0.479,47.1,47,4.463437797,104,9.87654321,0.452,2013,20,22.9,47,51.6,9,11,38,59,0.644,28,74,0.378,68,95,0.716,66,134,0.493,43.2,30,102,0.294,2012,19,20.8,46.7,52.3,20,24,47,81,0.58,22,65,0.338,68,89,0.764,69,146,0.473,31.1,20,66,0.303,4.57,8.02,3.16,4.2,118.2,32.2
Richaun Holmes,2015,0.320444067,FALSE,22,51,1,702,114,222,106,178,8,44,51,74,287,0.157,0.863,0.41,2.256,0.514,0.596,0.182,0.689,0.564,0.532,17.9,0.6,3.1,2014,0.737485554,FALSE,21,Sr,80,Bowling Green,MAC,PF/C,1388,5,2,176,25.1,59.3,62.3,45,46,107,155,0.69,32,82,0.39,101,142,0.711,139,237,0.586,15.4,18,1.296829971,43,3.097982709,0.419,2013,20,21.6,52.1,56.8,53,55,106,146,0.726,26,103,0.252,113,159,0.711,132,248,0.532,13.9,12,40,0.3,2012,19,17.7,62.4,62.8,34,38,64,90,0.711,18,40,0.45,31,50,0.62,83,131,0.634,1.5,0,2,0,0.98,2.95,1.6,2.66,102.6,8.1
Larry Nance Jr.,2015,0.063245553,FALSE,23,63,22,1266,158,300,157,290,1,10,32,47,349,0.016,0.159,0.028,0.284,0.527,0.541,0.1,0.681,0.544,0.528,12.6,0,0.4,2014,0.56395635,FALSE,22,Sr,80,Wyoming,MWC,Wing F,1499,4.5,1.9,160,27.9,52.7,57.7,46,50,93,118,0.788,69,188,0.367,113,144,0.785,162,306,0.529,11.8,14,0.933955971,41,2.735156771,0.341,2013,21,24.4,55.8,60.4,52,58,80,100,0.8,47,116,0.405,94,123,0.764,127,217,0.585,13.9,9,35,0.257,2012,20,19,55,59.4,33,34,73,85,0.859,39,116,0.336,80,107,0.748,112,201,0.557,11.8,9,27,0.333,2.37,4.37,1.45,1.97,104.9,8.6
